Frage;Szenario
Wie werden ARD-Podcasts archiviert?;LOREM IPSUM BLA BLA BLA
Erfassung von Musik zu einem Videospiel oder Filmmusik - Welche Felder müssen ausgefüllt werden?;LOREM IPSUM BLA BLA BLA
Wo kann ich glaubhafte Informationen über Personen finden?;LOREM IPSUM BLA BLA BLA
Wie gehe ich damit um, wenn mir der konkrete Name eines Produktionsbeteiligten nicht vorliegt (z. B. Sprecher*in oder Musiker*in)?;LOREM IPSUM BLA BLA BLA
"Ich will per KI erzeugte Daten in FESAD-Feld ""Sachinhalt"" übernehmen. Soll ich diese Daten irgendwie kennzeichnen?";LOREM IPSUM BLA BLA BLA
Wie und wo notiere ich, wenn ein Beitrag aus mehreren Musikstücken besteht?;LOREM IPSUM BLA BLA BLA
Was kommt in den Vorlauf?;LOREM IPSUM BLA BLA BLA
Wie gehe ich mit #'s im Titel um?;LOREM IPSUM BLA BLA BLA
Was sind Tags? Brauch ich die?;LOREM IPSUM BLA BLA BLA
Wie sollte nach REM indexiert werden? (Thema Grob-/Feinindexierung);LOREM IPSUM BLA BLA BLA
Wie soll Rohmaterial (Audio, Video) verzeichnet werden?;LOREM IPSUM BLA BLA BLA
Wenn ich ein Medley erfasse, wie lege ich den Titel an, wenn das Medley gar keinen bestimmten Titel hat?;LOREM IPSUM BLA BLA BLA
Wie notiere ich eine interne Übernahme z. B. bei einer Nachmittagssendung von einer Vormittagssendung?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich verschiedene Präsentationsformen?;LOREM IPSUM BLA BLA BLA
Sollte eine KI als Autor:in angesetzt werden, und wenn ja, wie?;LOREM IPSUM BLA BLA BLA
Auf welcher Ebene trage ich den Moderator ein?;LOREM IPSUM BLA BLA BLA
Was ist eine Sendung, ein Beitrag? Wie ist Sendung, Beitrag definiert? ;LOREM IPSUM BLA BLA BLA
Wenn eine Radiosendung bereits vollständig archiviert wurde, diese dann anschließend noch mal leicht abgewandelt als Podcast erscheint - welche Beziehungsart setze ich dann in der Hfdb an? Und was gilt für einen ähnlichen Fall für ein Video in FESAD?;LOREM IPSUM BLA BLA BLA
"Fallen Rundfunkanstalten unter die ""Sonstigen Institutionen"" in der NDB?";LOREM IPSUM BLA BLA BLA
"Setze ich den WDR unter den ""Sonstigen Institutionen"" in der NDB an?";LOREM IPSUM BLA BLA BLA
"Sind im Feld ""Beruf/Funktion"" nur Berufe zu erfassen oder auch Funktionen einer Person (z. B. Ministerpräsidentin)?";LOREM IPSUM BLA BLA BLA
"Ist bei Lars Klingbeil im Feld ""Beruf/Funktion"" Politiker oder Finanzminister zu erfassen?";LOREM IPSUM BLA BLA BLA
"Wie gehe ich damit um, wenn eine Person in einem Staat geboren wurde, der nicht mehr existiert, z. B. DDR oder Nordvietnam? 
Was trage ich im Feld ""Nationalität"" ein?";LOREM IPSUM BLA BLA BLA
"Mai Duong Kieu wurde in Norvietnam geboren. Was trage ich im Feld ""Nationalität"" ein?";LOREM IPSUM BLA BLA BLA
Wie erfasse ich eine Musikgattung in Fremdsprache in der NDB?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich eine Person, die unter ihrem Pseudonym auftritt, wenn dieses noch nicht in der NDB hinterlegt ist, ich den ursprünglichen Namen aber kenne?;LOREM IPSUM BLA BLA BLA
Welche NDB-Objekte pflegt REM unmittelbar?;LOREM IPSUM BLA BLA BLA
Wie soll die Rechtsform von sonstigen Institutionen angegeben werden?;LOREM IPSUM BLA BLA BLA
Wie genau funktionieren Namenszusätze?;LOREM IPSUM BLA BLA BLA
Wann lege ich eine Person an?;LOREM IPSUM BLA BLA BLA
Was ist die Mindestanforderung für einen Personendatensatz in der NDB?;LOREM IPSUM BLA BLA BLA
Welche asiatischen Namen erfasse ich wie?;LOREM IPSUM BLA BLA BLA
Welche Regeln und/oder Empfehlungen gibt es zu gendergerechter Sprache?;LOREM IPSUM BLA BLA BLA
Wie soll in einem bestimmten Fall xy gegendert werden?;LOREM IPSUM BLA BLA BLA
Wie erfasst man Sonstige Institutionen?;LOREM IPSUM BLA BLA BLA
Sind Preise eine Institution?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich den Namen Jan van Aken?;LOREM IPSUM BLA BLA BLA
Ist der Marianne-Englert-Preis eine Institution?;LOREM IPSUM BLA BLA BLA
Was ist ein Geo?;LOREM IPSUM BLA BLA BLA
Beruf/Funktion, Steckbrief, Notiz, Bemerkung... Welche Info gehört wohin bei der Personenansetzung?;LOREM IPSUM BLA BLA BLA
Was mache ich mit Sonderzeichen in Namen von Personen oder Institutionen?;LOREM IPSUM BLA BLA BLA
Wähle ich den Namen MIT Diakritika aus oder OHNE?;LOREM IPSUM BLA BLA BLA
Was ist die Normdatenbank und wie hängt sie mit den Programmen in denen ich arbeite zusammen?;LOREM IPSUM BLA BLA BLA
Wie sind Personen Namen mit Adelsprädikaten und Adelsrängen/Anreden zu behandeln? Welche Unterschiede sind zwischen Deutschland und Österreich zu beachten, was gilt vor/nach 1918 geborene / agierende Personen?;LOREM IPSUM BLA BLA BLA
Mit welchem Namensteil beginnt der Nachname von Personen aus spanischen, portugiesischen, arabischen, ... Kulturkreisen?;LOREM IPSUM BLA BLA BLA
"Wie wird der Namensbestandteil ""von und zu"" behandelt?";LOREM IPSUM BLA BLA BLA
Wann dürfen freie Schlagworte neu vergeben werden? ;LOREM IPSUM BLA BLA BLA
Wie kann ich ungewöhnliche O-Töne hervorheben?;LOREM IPSUM BLA BLA BLA
"Wie kann ich den Satz ""Ich bin ein Berliner"" hervorheben?";LOREM IPSUM BLA BLA BLA
Wie lang darf ein Beitragstitel sein?;LOREM IPSUM BLA BLA BLA
Wie kennzeichne ich einen vollständig ausgewerteten Beitrag?;LOREM IPSUM BLA BLA BLA
Wie kann ich Bildbeschreibungen straffen, ohne unpräzise zu werden?;LOREM IPSUM BLA BLA BLA
Wann darf ich Bildbeschreibungen weglassen?;LOREM IPSUM BLA BLA BLA
Wie setze ich Namen aus der arabischen Welt an?;LOREM IPSUM BLA BLA BLA
GEO: wie gehe ich als Datenpfleger mit einer falsch angelegten GEO-Vokabel um?;LOREM IPSUM BLA BLA BLA
Was ist bei Künstlergruppen-Datensätzen in der NDB bei der Erfassung von Änderungen wie Namensänderung, Auflösung und Neugründung zu beachten? ;LOREM IPSUM BLA BLA BLA
Was ist die Klasse zu einem bestimmten Sachdeskriptor?;LOREM IPSUM BLA BLA BLA
Wie wird ATMO richtig angesetzt?;LOREM IPSUM BLA BLA BLA
Wie wird overvoice bei einem O-Ton korrekt erfasst?;LOREM IPSUM BLA BLA BLA
Was wird als Komponist/Textdichter bzw. Urheber eingetragen/angegeben, wenn dieser unbekannt ist?;LOREM IPSUM BLA BLA BLA
 Wie werden Geräusche angesetzt? ;LOREM IPSUM BLA BLA BLA
Wann lege ich in der Musik einen Zitiernamen an?;LOREM IPSUM BLA BLA BLA
Wie setze ich einen Flughafen an - als GEO oder sonst. Institution?;LOREM IPSUM BLA BLA BLA
Wie sieht die Erfassung aus, wenn der Text zu einem Musiktitel/musikalischem Werk aus der Bibel stammt? Darauf aufbauend: Wenn es sich bei einem Titel um die Vertonung eines liturgischen Textes handelt, wie erfasse ich das?;LOREM IPSUM BLA BLA BLA
In welcher Sprache steht der RHTI insbesondere bei Werken auf Russisch, Polnisch oder Tschechisch?? (E-Musik);LOREM IPSUM BLA BLA BLA
"Wie lege ich den Titel ""Nie poddawaj si?"" an?";LOREM IPSUM BLA BLA BLA
Wie wird der Individualtitel eines Werkes erfasst, wenn er weder deutsch, französisch, italienisch, lateinisch oder spanisch ist?;LOREM IPSUM BLA BLA BLA
"Ich brauche Infos darüber, wie das Feld ""Bemerkungen Herkunft"" im Block Produktion REM-konform zu befüllen ist";LOREM IPSUM BLA BLA BLA
"Was ist die korrekte Ansetzung für den Namenszusatz ""Junior"" bzw. ""Senior""? ""jun"", ""jr"", ""jr."" bzw. ""sen"", ""sr"", ""sr."", groß/klein geschrieben?";LOREM IPSUM BLA BLA BLA
Welche Regeln gibt es für die Erfassung von feat, meets, vs im Zitiernamen?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich Filmmusik, die nicht für den Film komponiert wurde, aber in dem Film verwendet wurde? ;LOREM IPSUM BLA BLA BLA
Was ist bei der Erfassung eines Soundtracks einer Musical-Verfilmung zu beachten?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich eine literarische Vorlage einer Audiokreation?;LOREM IPSUM BLA BLA BLA
Welche Regeln gelten für die Erfassung repräsentativer InterpretInnen (Musik)?;LOREM IPSUM BLA BLA BLA
Ein Musiktitel enthält ein Sample. Wie erfasse ich das?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich einen einen Hidden Track auf einer CD?;LOREM IPSUM BLA BLA BLA
Ein Album enthält einen Bonus Track. Erfasst man das? Wenn ja, wie?;LOREM IPSUM BLA BLA BLA
Wie gebe ich in der HFDB an, dass eine mitwirkende Person/Mitwirkende Gruppe/Urheber: aus einem Land stammt?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich, dass ein Musiktitel von einem Film inspiriert wurde?;LOREM IPSUM BLA BLA BLA
"Im Hiphop ist die Funktion ""Producer"" bei Mitwirkenden typisch. Sie unterscheidet sich von der HFDB-Funktion ""Produktion Industrie"". Wie erfasse ich also ""Producer"" in der HFDB?";LOREM IPSUM BLA BLA BLA
Wann verwende ich bei den Klangkörpern (zu den Mitwirkenden Personen) englische Kurzdeskriptoren und wann die ausgeschriebene Bezeichnung?;LOREM IPSUM BLA BLA BLA
"Ich habe einen Titel ""Silent night"", gesungen in englischer Sprache. Es handelt sich dabei um eine englische Version von ""Stille Nacht"". Was muss ich bei der Erfassung beachten? Wird der Originaltitel angegeben? Muss Textdichtung des Originaltextes angegeben werden? Werden Urheber:innen des englischen Textes/Übersetzerinnen als Bearbeitung oder als Textdichtung angegeben ?";LOREM IPSUM BLA BLA BLA
Eine Veröffentlichung (Album) hat zwei P-Daten. In der HFDB kann nur eins erfasst werden. Welches gebe ich an? Wo wird das zweite P-Datum erfasst?;LOREM IPSUM BLA BLA BLA
Wie wird die Vulgata-Fassung von Bibeltexten in der Bezugskreation angegeben?;LOREM IPSUM BLA BLA BLA
"Wie gibt man an, dass es sich bei einem Titel um eine ""Digitally Remastered"" handelt?";LOREM IPSUM BLA BLA BLA
Was ist der Unterschied zwischen Version und Fassung?;LOREM IPSUM BLA BLA BLA
Dürfen Textanfang und Textdichter (der länger als 70 Jahre tot ist) bei einer instrumentalen Bearbeitung eines Vokalstücks erfasst werden?;LOREM IPSUM BLA BLA BLA
Wie kennzeichnet man den attacca-Übergang zwischen zwei Korpussen?;LOREM IPSUM BLA BLA BLA
Wie wird die Nummer in der Struktur Korpus + Werk-Gesamttitel ohne Werkverzeichnisnr./Opuszahl erfasst?;LOREM IPSUM BLA BLA BLA
"Bei ""Alter Musik"" ist ein Herausgeber typisch, was ansonsten eher untypisch ist. Wie wird das erfasst?";LOREM IPSUM BLA BLA BLA
Wie werden Urheber von Kadenzen erfasst: als Komponist, Bearbeiter oder nur in einer Bemerkung  ;LOREM IPSUM BLA BLA BLA
Wo sollen Bemerkungen zu falschen Informationen im Booklet erfasst werden? ;LOREM IPSUM BLA BLA BLA
In der HFDB gibt es verschiedene Felder für die Eingabe längerer Texte, z.B. Text - Typ Moderation/Gesamttext oder Deskriptionstexte - verschiedene Typen). Wie nutze ich sie korrekt?;LOREM IPSUM BLA BLA BLA
Ein Audiofile wird zuerst als Podcast veröffentlicht. Zu einem späteren Zeitpunkt wird es linear gesendet. Muss hier ein ESD vergeben werden oder ein WSD?;LOREM IPSUM BLA BLA BLA
Wie unterscheiden sich Freie Sachdeskriptoren zu den Tags?;LOREM IPSUM BLA BLA BLA
"Ist der Wert ""Magazin"" auch auf Beitragsebene (Korpus) zu führen, wenn er schon in der Kompilation eingetragen wurde?";LOREM IPSUM BLA BLA BLA
"Wann wird bei Veröffentlichungsart ""Maxi"" und wann ""Single"" angegeben/vergeben?";LOREM IPSUM BLA BLA BLA
"Was ist der Unterschied zwischen den Veröffentlichungsarten ""Extended Play"" und ""Album""?";LOREM IPSUM BLA BLA BLA
"Was ist das ""P-Datum""?";LOREM IPSUM BLA BLA BLA
"Was ist das ""C-Datum""?";LOREM IPSUM BLA BLA BLA
"Wann ist eine Veröffentlichung ein sogenannter ""Sampler""?";LOREM IPSUM BLA BLA BLA
Welcher Labelcode wird bei selbstveröffentlichten Tonträgern/(digitalen) Veröffentlichungen vergeben?;LOREM IPSUM BLA BLA BLA
"Wann ordnet man Ausführenden/Interpreten die Funktion ""Mitwirkung"" und wann die Funktion ""Musikalische Darbietung"" zu? Was sind die Kriterien?";LOREM IPSUM BLA BLA BLA
Was deckt die Cue-Punkte-Liste in Konfektionierung.Abschnitt ab? Wann setzt man Timecodes als Cue-Punkte und wann als Segmente in der Hierarchie?;LOREM IPSUM BLA BLA BLA
Bei welchen fremdsprachigen Namen gibt es Abweichungen gegenüber der normalen Ansetzung deutscher Namen?;LOREM IPSUM BLA BLA BLA
Wie werden Staffeln und Episoden bei mehrteiligen Kreationen angesetzt bzw. im Titel abgebildet?;LOREM IPSUM BLA BLA BLA
Gibt es Regeln zur Handhabung des Erfassungsstatus (HFDB Workflowsteuerung)?;LOREM IPSUM BLA BLA BLA
"Was ist der Unterschied zwischen den Werten ""Moderator"", ""Moderation"" und ""Moderation Show"" für Personen/Beteiligte?";LOREM IPSUM BLA BLA BLA
Wie kann ein erfolgter Faktencheck oder eine Recherche als Mitwirkung in der Dokumentation abgebildet werden?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich die Zugabe?;LOREM IPSUM BLA BLA BLA
