Szenario;Anwendungsprofil
;FESAD
Du bist Mediendokumentar und arbeitest an bildinhaltlichen Erschließung einer Reihe von Videos. Dabei möchtest du Kameraeinstellungen korrekt verwenden. Um sicherzustellen, dass deine Begriffe mit den REM-Richtlinien übereinstimmen, überprüfst du, welche Ausdrücke für Kameraeinstellungen als REM-konform gelten. Du fragst den Chatbot, um eine vollständige und präzise Liste zu erhalten.;FESAD
"Du erschließt ein Video, das eine Szene aus der Froschperspektive zeigt, und möchtest sicherstellen, dass dieser Ausdruck den REM-Standards entspricht. Du bist dir unsicher, ob der Begriff ""Froschperspektive"" eine zulässige und normierte Bezeichnung ist oder ob du stattdessen einen anderen Begriff verwenden solltest. Zur Klärung wendest du dich an den Chatbot.";FESAD
"Bei der Erfassung von Videos stößt du auf eine Aufnahme, die eine Person aus der Seitenansicht zeigt. Du fragst dich, ob der Ausdruck ""Seitenansicht"" REM-konform ist oder ob es eine standardisierte Alternative gibt, die in der Erschließung verwendet werden sollte. Um Missverständnisse zu vermeiden, suchst du Rat beim Chatbot.";FESAD
"Du beschreibst eine Videosequenz, die eine Szene aus der Perspektive von unten zeigt, und möchtest wissen, ob der Ausdruck ""Ansicht von unten"" den REM-Vorgaben entspricht. Da du keine Unsicherheiten bei der Verschlagwortung hinterlassen willst, fragst du den Chatbot, ob dieser Begriff in den Standards enthalten ist.";FESAD
Als Mediendokumentar hörst du immer wieder von REM und seiner Bedeutung bei der normgerechten Erfassung von Medieninhalten. Du bist dir jedoch nicht sicher, was REM genau ist, wofür es steht und wie es in deinem Arbeitsalltag anzuwenden ist. Um Klarheit zu schaffen, fragst du den Chatbot, der dir eine verständliche Erklärung geben soll.;HFDB, FESAD, NDB
"Du arbeitest an der Erfassung eines Audiobeitrags in der HFDB. Dabei siehst du in der Benutzeroberfläche ein Feld mit der Bezeichnung ""Audiokreation vollständig"", das mit einem Häkchen aktiviert werden kann. Du bist dir unsicher, welche Bedeutung dieses Häkchen hat – ob es sich darauf bezieht, dass der Beitrag vollständig erstellt wurde, oder ob alle Metadaten eingegeben sind. Um Missverständnisse zu vermeiden, fragst du den Chatbot nach einer Erklärung.";HFDB
"Du stößt auf die Begriffe ""Kostenträger"" und ""Kostenstelle"". Du bist dir nicht sicher, worin der Unterschied besteht und wie du diese Begriffe korrekt für die interne Abrechnung und Zuordnung verwenden kannst. Um Klarheit zu schaffen, konsultierst du den Chatbot.";HFDB, FESAD
Du erschließt eine Fernsehsendung, bei der eine Person einen Beitrag einleitet, jedoch nicht als klassischer Moderator agiert. Du fragst dich, wie die Funktion dieser Person korrekt bezeichnet wird – ob es sich um einen Kommentator, Sprecher oder eine andere Rolle handelt. Um die Metadaten korrekt zu erfassen, wendest du dich an den Chatbot.;HFDB
Du hast einen Mitschnitt aus einem Audiostream, der teilweise in einem fertigen Beitrag verwendet wurde, und möchtest diesen nun archivieren. Du fragst dich, welche Aspekte bei der Archivierung zu berücksichtigen sind. Der Chatbot könnte dir dabei helfen, eine strukturierte Vorgehensweise zu entwickeln.;HFDB
Du arbeitest an der Erfassung eines Beitrags, in dem mehrere Musikstücke oder Audioelemente nahtlos ineinander übergehen, sodass keine klaren Timecodes für den Beginn und das Ende der Stücke erkennbar sind. Du fragst dich, wie du in solchen Fällen die Erfassung durchführen und die Metadaten sinnvoll strukturieren kannst. Um eine Lösung zu finden, fragst du den Chatbot um Unterstützung.;HFDB
Du bearbeitest ein Werk, das Teil eines größeren Mehrteilers ist, wie beispielsweise eine Serie oder eine Dokumentationsreihe. Du möchtest sicherstellen, dass die Beziehung zwischen dem einzelnen Werk und dem Mehrteiler korrekt erfasst wird, um den Kontext für die Recherche klar darzustellen. Du fragst den Chatbot, wie dies standardmäßig gehandhabt wird.;HFDB
"Beim Erstellen von Metadaten für einen Beitrag stößt du auf den Block ""Bereitstellung"" und bist unsicher, ob hier die federführende Rundfunkanstalt (RFA) oder die publizierende Anstalt eingetragen werden soll. Um eine konsistente Erfassung sicherzustellen, konsultierst du den Chatbot.";HFDB
Du bearbeitest einen Beitrag, der auf einem Film basiert, und möchtest den Bezug zum Originalvideo sowie den Regisseur in den Metadaten vermerken. Du bist dir jedoch unsicher, wo diese Informationen korrekt eingetragen werden sollten. Du fragst den Chatbot um Rat.;HFDB
Du arbeitest an der Erfassung eines Radio-Beitrags, in dem ein O-Ton verwendet wird, und möchtest diesen korrekt in den Metadaten dokumentieren. Du fragst dich, welche Felder ausgefüllt werden müssen, um den O-Ton eindeutig zu identifizieren. Der Chatbot könnte dir helfen.;HFDB
Du analysierst einen Audio-Beitrag, der ein Deepfake enthält, und möchtest sicherstellen, dass dies in den Metadaten korrekt gekennzeichnet wird. Du fragst dich, welche Felder verwendet werden sollten und ob zusätzliche Hinweise notwendig sind, um die künstliche Natur des Audios klarzustellen. Der Chatbot könnte dir eine Lösung vorschlagen.;HFDB
Du bist für die Archivierung eines ARD-Podcasts verantwortlich und möchtest sicherstellen, dass der Podcast gemäß den geltenden Standards erfasst wird. Du fragst dich, welche Metadaten notwendig sind und ob es spezifische Vorgaben für ARD-Inhalte gibt. Du wendest dich an den Chatbot, um eine klare Anleitung zu erhalten.;HFDB
Du bearbeitest die Metadaten für ein Musikstück, das entweder Teil eines Videospiels oder eines Films ist. Du möchtest wissen, welche Felder speziell für die Zuordnung und Beschreibung der Musik ausgefüllt werden müssen, um die korrekte Einordnung sicherzustellen. Der Chatbot könnte dir eine Übersicht geben.;HFDB
Du recherchierst Informationen über eine Person, die in einem Beitrag erwähnt wird oder die an einer Produktion beteiligt war, und möchtest sicherstellen, dass deine Quellen glaubwürdig und verlässlich sind. Du fragst den Chatbot nach geeigneten Datenbanken, die du nutzen kannst.;HFDB, FESAD, NDB
Du erfasst die Metadaten eines Beitrags, aber dir liegt der Name eines Produktionsbeteiligten, wie der Sprecherin oder Musikerin, nicht vor. Du fragst dich, wie du diese Lücke in den Metadaten dokumentieren kannst, ohne später Verwirrung zu stiften. Der Chatbot könnte dir eine geeignete Vorgehensweise vorschlagen. ;HFDB, FESAD
"Du möchtest von einer KI generierte Daten in das FESAD-Feld ""Sachinhalt"" eintragen, bist dir aber unsicher, ob diese Daten als KI-generiert gekennzeichnet werden müssen, um Transparenz sicherzustellen. Du fragst den Chatbot, ob es dafür Standards oder Empfehlungen gibt.";HFDB, FESAD
Du bearbeitest die Erfassung eines Beitrags, der aus mehreren Musikstücken besteht. Du fragst dich, ob jedes Stück einzeln aufgeführt werden sollte und in welchem Feld die Angaben zu den einzelnen Musikstücken am besten dokumentiert werden können. Um eine klare und vollständige Erschließung sicherzustellen, konsultierst du den Chatbot.;HFDB
Bei der Erfassung eines Beitrags stößt du auf das Feld „Vorlauf“ und bist dir unsicher, welche Informationen hier eingetragen werden sollen. Du fragst dich, ob es sich um technische Angaben, thematische Zusammenfassungen oder andere Inhalte handelt. Du fragst den Chatbot, um mehr über die korrekte Nutzung dieses Feldes zu erfahren.;HFDB
Du verschlagwortest einen Audio- oder Videobeitrag, dessen Titel ein oder mehrere Hashtags (#) enthält, und überlegst, ob diese im Titel belassen, entfernt oder in ein anderes Feld übertragen werden sollten. Du möchtest sicherstellen, dass die Erfassung den Standards entspricht und die Auffindbarkeit des Beitrags gewährleistet ist. Der Chatbot könnte dir helfen.;HFDB, FESAD
"Während du an der Erschließung eines Video- oder Audiobeitrags arbeitest, findest Du das Feld ""Tags"". Du bist dir jedoch unsicher, was genau Tags sind und welchen Nutzen sie bei der Erfassung haben. Du fragst dich, ob sie für die vollständige Erschließung erforderlich sind oder ob sie optional verwendet werden können. Um dies zu klären, wendest du dich an den Chatbot.";HFDB, FESAD
Du arbeitest an der Indexierung eines Beitrags und fragst dich, wie du den REM-Standards entsprechend vorgehen solltest. Insbesondere bist du dir unsicher, wie detailliert die Grob- und Feinindexierung erfolgen muss, um eine optimale Auffindbarkeit sicherzustellen. Der Chatbot könnte dir die Vorgehensweise erläutern.;HFDB, FESAD
Du bist dabei, Rohmaterial (Audio oder Video) zu archivieren, und fragst dich, welche Felder ausgefüllt werden sollten, um die Inhalte korrekt zu dokumentieren. Du möchtest sicherstellen, dass das Material auch für zukünftige Verwendungen leicht zugänglich ist. Du fragst den Chatbot nach den entsprechenden Standards.;
HFDB, FESAD;
Du bearbeitest einen Beitrag, der vollständig oder teilweise von einer KI erstellt wurde, und fragst dich, ob die KI als Autor:in in den Metadaten angegeben werden sollte. Falls ja, möchtest du wissen, wie diese Information korrekt erfasst wird, um Transparenz zu gewährleisten. Du fragst den Chatbot, was in solchen Fällen Standard ist.;HFDB, FESAD
Du arbeitest an der Archivierung von Medienprodukten und möchtest den Unterschied zwischen einer Sendung und einem Beitrag besser verstehen. Du fragst dich, wie diese Begriffe definiert sind und wie du sie in den Metadaten korrekt voneinander abgrenzt. Der Chatbot könnte dir eine klare Definition geben.;HFDB, FESAD
Du hast eine Radiosendung, die bereits archiviert wurde und nun in leicht veränderter Form als Podcast veröffentlicht wird. Du fragst dich, welche Beziehungsart in der HFDB angegeben werden muss, um diese Verbindung korrekt darzustellen. Gleichzeitig möchtest du wissen, wie ein ähnlicher Fall für ein Video in FESAD gehandhabt werden sollte. Der Chatbot könnte dir die entsprechenden Standards erläutern.;HFDB, FESAD
Du möchtest eine Rundfunkanstalt in der NDB (Normdatenbank) erfassen und fragst dich, ob diese unter die Kategorie „Sonstige Institutionen“ fällt. Du möchtest sicherstellen, dass die Zuordnung den offiziellen Richtlinien entspricht. Der Chatbot könnte dir dabei helfen.;HFDB, FESAD
Du erfasst den Westdeutschen Rundfunk (WDR) in der NDB und bist dir unsicher, ob dieser unter der Kategorie „Sonstige Institutionen“ angesetzt werden sollte. Um die richtige Zuordnung vorzunehmen, fragst du den Chatbot nach einer klaren Regelung.;NDB
Du bearbeitest die Daten einer Person und möchtest wissen, ob im Feld „Beruf/Funktion“ ausschließlich Berufe oder auch Funktionen wie „Ministerpräsidentin“ erfasst werden sollen. Um Missverständnisse zu vermeiden, fragst du den Chatbot nach der genauen Definition des Feldes.;NDB
Du erfasst die Daten von Lars Klingbeil und bist dir unsicher, ob im Feld „Beruf/Funktion“ die allgemeine Bezeichnung „Politiker“ oder eine spezifische Rolle wie „Finanzminister“ angegeben werden sollte. Du fragst den Chatbot, wie solche Fälle korrekt dokumentiert werden.;NDB
Du erfasst die Geburtsdaten einer Person, die in einem Staat geboren wurde, der inzwischen nicht mehr existiert, wie beispielsweise die DDR oder Nordvietnam. Du fragst dich, ob du den historischen Staat angeben sollst oder den aktuellen Nachfolgestaat. Der Chatbot könnte dir helfen, eine klare Regelung zu finden.;NDB
Du arbeitest an der Erfassung der Nationalität einer Person und bist dir unsicher, ob du die Nationalität auf Basis des Geburtslandes, der Staatsangehörigkeit oder anderer Kriterien eintragen sollst. Um eine konsistente Vorgehensweise sicherzustellen, fragst du den Chatbot nach der korrekten Handhabung.;NDB
Du bearbeitest die Daten von Mai Duong Kieu, die in Nordvietnam geboren wurde, und fragst dich, ob du Nordvietnam, Vietnam oder eine andere Bezeichnung im Feld „Nationalität“ eintragen sollst. Du fragst den Chatbot, wie solche Fälle korrekt gehandhabt werden.;NDB
Du möchtest eine Musikgattung in der NDB erfassen, die in einer Fremdsprache benannt ist, und fragst dich, ob du den originalsprachlichen Begriff verwenden oder eine Übersetzung angeben sollst. Du fragst den Chatbot nach der richtigen Vorgehensweise.;NDB
;HFDB, NDB
Du arbeitest mit der NDB und möchtest wissen, welche Objekte direkt durch die REM (vermutlich ein Metadatenstandard oder eine Dokumentationsabteilung) gepflegt werden. Du fragst dich, ob dies nur Personen oder auch Institutionen, Geografika und weitere Kategorien umfasst. Um eine präzise Antwort zu erhalten, fragst du den Chatbot.;NDB
Du erfasst eine Institution, die nicht zu den klassischen Kategorien wie Rundfunkanstalten oder Unternehmen gehört, und fragst dich, wie die Rechtsform dieser „sonstigen Institution“ korrekt eingetragen werden sollte. Der Chatbot könnte dir eine klare Regelung geben.;NDB
Du bist dabei, eine Person mit einem Namenszusatz wie „von“ oder „zu“ in der NDB zu erfassen, und fragst dich, wie solche Zusätze korrekt integriert werden – ob sie Teil des Nachnamens sind oder gesondert behandelt werden müssen. Du fragst den Chatbot nach einer genauen Anleitung.;NDB
Du arbeitest in der Erschließung in FESAD oder HFDB und fragst dich, ab welchem Informationsstand oder bei welcher Bedeutung es sinnvoll ist, eine Person in der NDB anzulegen. Du möchtest sicherstellen, dass du keine unnötigen Datensätze erstellst, aber auch keine relevanten Informationen auslässt. Der Chatbot könnte dir die Mindestanforderungen erklären.;HFDB, NDB
Du möchtest einen neuen Personendatensatz in der NDB anlegen, bist dir aber unsicher, welche Informationen mindestens erforderlich sind, um den Datensatz vollständig und gültig zu machen. Der Chatbot könnte dir eine Liste der notwendigen Angaben geben.;NDB
Du arbeitest in der Erschließung auch zu Personen mit asiatischen Namen und fragst dich, wie du diese korrekt erfasst, insbesondere bei Unterschieden zwischen westlicher und asiatischer Namensreihenfolge. Du möchtest sicherstellen, dass die Namen standardkonform eingetragen werden. Der Chatbot könnte dir die korrekten Regeln erklären.;HFDB, FESAD, NDB
Du möchtest sicherstellen, dass die erstellten Metadaten und Texte gendergerecht formuliert sind. Du fragst dich, welche Regeln oder Empfehlungen es für gendergerechte Sprache in den SAD-Systemen gibt. Der Chatbot könnte dir hilfreiche Tipps oder offizielle Empfehlungen geben.;HFDB, FESAD, NDB
Du möchtest eine Institution erfassen, die nicht in die typischen Kategorien wie Unternehmen, Rundfunkanstalten oder Vereine fällt. Du fragst dich, welche Felder und Daten für „sonstige Institutionen“ in der NDB oder einem ähnlichen System ausgefüllt werden müssen. Der Chatbot könnte dir eine Anleitung geben.;NDB
Du möchtest in der NDB einen Literatur- oder Medienpreises erfassen, und fragst dich, ob dieser als Institution erfasst werden sollte oder ob es eine andere Kategorie gibt, die besser passt. Der Chatbot könnte dir die korrekte Zuordnung erklären.;NDB
Du möchtest den Namen „Jan van Aken“ in der NDB erfassen und fragst dich, wie du den Namenszusatz „van“ korrekt einordnest – ob er Teil des Nachnamens ist oder gesondert behandelt werden muss. Du fragst den Chatbot, um Missverständnisse zu vermeiden.;HFDB, FESAD, NDB
Du arbeitest in FESAD oder der HFDB und stößt auf den Begriff „GEO“. Du fragst dich, was genau damit gemeint ist – ob es sich um geografische Objekte, Orte oder eine andere Art von Kategorie handelt. Der Chatbot könnte dir eine genaue Definition geben.;NDB
Du legst einen neuen Personendatensatz an und bist dir unsicher, welche Informationen in die Felder „Beruf/Funktion“, „Steckbrief“, „Notiz“ und „Bemerkung“ eingetragen werden sollten. Um die Felder korrekt zu füllen und Redundanzen zu vermeiden, fragst du den Chatbot nach einer Übersicht.;NDB
Du bist ein Mediendokumentar und bearbeitest gerade die Metadaten eines neuen Films. Dabei stößt du auf den Namen eines Regisseurs, der Sonderzeichen wie Akzente oder Umlaute enthält. Du bist dir unsicher, ob diese Sonderzeichen in der Normdatenbank beibehalten werden sollen oder ob du sie entfernen musst, um die Standards einzuhalten. Du fragst den Chatbot, wie du in diesem Fall vorgehen sollst.;HFDB, FESAD, NDB
Du bist dabei, die Metadaten eines neuen Hörfunkbeitrags zu erfassen. Der Name eines Künstlers erscheint in zwei Varianten: einmal mit diakritischen Zeichen und einmal ohne. Du möchtest sicherstellen, dass du die korrekte Schreibweise gemäß den Normdatenstandards verwendest. Du fragst den Chatbot, ob du den Namen mit oder ohne Diakritika auswählen sollst.;NDB
Als Mediendokumentar arbeitest du täglich mit verschiedenen Programmen zur Erfassung und Pflege von Metadaten. Du hast von der Normdatenbank gehört, bist dir aber nicht sicher, was genau sie ist und wie sie mit den Programmen, die du nutzt, zusammenhängt. Du fragst den Chatbot, um mehr über die Normdatenbank und ihre Verbindung zu deinen Arbeitsprozessen zu erfahren.;HFDB, FESAD, NDB
Du bearbeitest die Metadaten eines historischen Films über Adelsfamilien in Europa. Dabei stößt du auf Namen mit Adelsprädikaten und fragst dich, wie diese korrekt angesetzt werden sollen. Besonders interessiert dich, ob es Unterschiede zwischen deutschen und österreichischen Adelsnamen gibt und wie du Personen vor und nach 1918 korrekt erfasst. Du fragst den Chatbot, um die Regelungen zu klären.;HFDB, FESAD, NDB
 Du bist dabei, die Metadaten eines internationalen Films zu erfassen, in dem Schauspieler aus verschiedenen Kulturkreisen mitwirken. Du bist dir unsicher, welcher Namensteil bei spanischen, portugiesischen und arabischen Namen als Nachname angesetzt wird. Du fragst den Chatbot, um die korrekten Regeln für diese Kulturen zu erfahren.;HFDB, FESAD, NDB
"Du dokumentierst einen Film über eine historische Persönlichkeit mit dem Namensbestandteil ""von und zu"". Du möchtest sicherstellen, dass du den Namen korrekt gemäß den Metadatenstandards erfasst. Du fragst den Chatbot, wie der Namensbestandteil ""von und zu"" behandelt werden soll.";HFDB, FESAD, NDB
Du erschließt einen neuen Beitrag, der ein Thema behandelt, das in der bisherigen Schlagwortliste nicht vorkommt. Du überlegst, ob du ein neues Schlagwort vergeben darfst oder ob du ein bestehendes Schlagwort anpassen musst. Du fragst den Chatbot, welche Regeln für die Vergabe neuer Schlagworte gelten.;HFDB, FESAD
 Du dokumentierst ein Interview, in dem eine prominente Persönlichkeit eine außergewöhnliche Aussage macht. Du möchtest diesen O-Ton besonders hervorheben, damit er in der Datenbank leicht auffindbar ist. Du fragst den Chatbot, wie du ungewöhnliche O-Töne korrekt hervorheben kannst.;HFDB, FESAD
"Du bearbeitest eine Audio- oder Videoseqenz mit der historischen Rede von John F. Kennedy, in der er den berühmten Satz ""Ich bin ein Berliner"" sagt. Du möchtest diesen Satz in der Dokumentation besonders hervorheben, damit er leicht auffindbar ist. Du fragst den Chatbot, wie du diesen Satz am besten dokumentierst.";HFDB, FESAD
Du bist dabei, einen Beitragstitel für eine neue Fernsehsendung zu erstellen. Du möchtest sicherstellen, dass der Titel den Vorgaben entspricht und nicht zu lang ist. Du fragst den Chatbot, wie lang ein Beitragstitel maximal sein darf.;FESAD
Du hast die Metadaten eines Beitrags vollständig erfasst und möchtest dies in HFDB oder FESAD kennzeichnen, um anderen Dokumentaren anzuzeigen, dass keine weiteren Ergänzungen notwendig sind. Du fragst den Chatbot, wie du einen vollständig ausgewerteten Beitrag korrekt kennzeichnest.;HFDB, FESAD
Du arbeitest an der Inhaltserschließung eines Fernsehbeitrags und möchtest die Bildbeschreibungen so präzise wie möglich halten, ohne unnötige Details hinzuzufügen. Du fragst den Chatbot, wie du Bildbeschreibungen straffen kannst, ohne an Präzision zu verlieren.;FESAD
Du dokumentierst eine Fernsehsendung und überlegst, ob du für bestimmte Sequenzen auf Bildbeschreibungen verzichten kannst, um Zeit zu sparen. Du fragst den Chatbot, unter welchen Umständen es erlaubt ist, Bildbeschreibungen wegzulassen.;FESAD
Du erfasst eine Person aus der arabischen Welt und fragst dich, wie der Name korrekt angesetzt wird, insbesondere wenn er mehrere Bestandteile wie „Abu“, „ibn“ oder Titel wie „al-“ enthält. Du möchtest sicherstellen, dass der Name den internationalen Standards entspricht und richtig recherchierbar bleibt. Der Chatbot könnte dir eine Anleitung geben, wie solche Namen nach den geltenden Regeln (z. B. RDA oder REM) erfasst werden.;HFDB, FESAD, NDB
Du stellst fest, dass ein GEO-Datensatz (z. B. ein Ort oder eine Region) in der NDB fehlerhaft angelegt wurde, sei es durch falsche Schreibweise oder andere Fehler. Du fragst dich, ob du den Datensatz korrigieren, löschen oder eine neue Vokabel anlegen sollst. Der Chatbot könnte dir erklären, wie Korrekturen dokumentiert und umgesetzt werden.;NDB
Du arbeitest an einem Künstlergruppen-Datensatz in der NDB und möchtest Änderungen wie Namensänderungen, Auflösungen oder Neugründungen korrekt dokumentieren. Du fragst dich, wie solche Ereignisse in den Metadaten erfasst werden sollen, um die Chronologie und Verknüpfungen transparent darzustellen. Der Chatbot könnte dir eine klare Anleitung geben.;NDB
Du möchtest einen Sachdeskriptor verwenden und fragst dich, welcher Klasse dieser zugeordnet ist, um sicherzustellen, dass er in den richtigen Kontext eingeordnet wird. Der Chatbot könnte dir helfen, die passende Klasse für den Deskriptor zu identifizieren.;HFDB, FESAD, NDB
Du bearbeitest einen Audiobeitrag, der Atmosphärengeräusche (ATMO) enthält, und fragst dich, wie diese korrekt in den Metadaten erfasst werden, um sie später auffindbar zu machen. Der Chatbot könnte dir die relevanten Felder und Standards nennen.;HFDB
Du erfasst einen Beitrag, in dem ein O-Ton durch eine Overvoice (z. B. eine Übersetzung oder einen Kommentar) überlagert wird. Du fragst dich, wie beide Elemente dokumentiert werden sollen, damit der Originalton und die Overvoice korrekt recherchierbar bleiben. Der Chatbot könnte dir eine Anleitung geben.;HFDB, FESAD
Du bearbeitest ein Musikstück, bei dem der Komponist, Textdichter oder Urheber unbekannt ist. Du fragst dich, ob und wie dies in den Metadaten angegeben werden muss, um die Unklarheit zu dokumentieren. Der Chatbot könnte dir die entsprechenden Vorgaben nennen.;HFDB, FESAD
Du möchtest Geräusche wie Tierlaute, Verkehrsgeräusche oder andere Soundeffekte dokumentieren und fragst dich, wie diese korrekt in den Metadaten erfasst werden, um sie eindeutig recherchierbar zu machen. Der Chatbot könnte dir eine Übersicht geben, wie Geräusche indexiert werden.;HFDB
Du erfasst einen Musiktitel oder ein musikalisches Werk in der HFDB und fragst dich, wann ein Zitiername erforderlich ist – zum Beispiel bei Werken mit mehreren Bezeichnungen oder einer bekannten Kurzform. Der Chatbot könnte dir die Bedingungen nennen, unter denen ein Zitiername angelegt wird.;HFDB
Du möchtest einen Flughafen wie den „Flughafen Frankfurt am Main“ erfassen und bist dir unsicher, ob dieser als GEO-Objekt oder als sonstige Institution in der Datenbank angelegt werden soll. Der Chatbot könnte dir die richtige Indexierung nennen.;HFDB, FESAD, NDB
Du bearbeitest ein musikalisches Werk, dessen Text aus der Bibel stammt oder auf einem liturgischen Text basiert. Du fragst dich, wie diese Quellen korrekt angegeben werden und ob spezielle Felder für liturgische Texte verwendet werden müssen. Der Chatbot könnte dir eine detaillierte Anleitung geben.;HFDB
Du erfasst ein Werk der E-Musik, dessen Originalsprache Russisch, Polnisch oder Tschechisch ist, und fragst dich, in welcher Sprache der RHTI (Ressourcentitel) angegeben werden soll – ob in der Originalsprache, einer Übersetzung oder einer standardisierten Sprache. Der Chatbot könnte dir die geltenden Richtlinien nennen.;HFDB
Du erfasst ein Werk in der HFDB mit dem polnischen Titel „Nie poddawaj si?“ und fragst dich, wie dieser korrekt angelegt wird – insbesondere, ob Sonderzeichen oder diakritische Zeichen berücksichtigt werden müssen. Der Chatbot könnte dir die spezifischen Regeln erläutern.;HFDB
Du bearbeitest in der HFDB ein Werk mit einem Individualtitel in einer weniger verbreiteten Sprache und fragst dich, wie dieser korrekt erfasst wird – ob in Originalsprache, in Übersetzung oder in Transkription. Der Chatbot könnte dir die entsprechenden Standards nennen.;HFDB
"Du bearbeitest die Metadaten einer Audiokreation und möchtest zusätzliche Informationen zur Herkunft der Produktion angeben, die nicht in den Feldern ""Produktionsentstehung"" oder ""Produktionsbeteiligter"" erfasst werden können. Du bist dir unsicher, welche Angaben in das Feld ""Bemerkungen Herkunft"" eingetragen werden dürfen und wie diese formuliert sein sollten, um den REM-Standards zu entsprechen. Du fragst den Chatbot nach den korrekten Vorgaben.";HFDB
"Du erfasst die Metadaten einer Person, deren Name den Zusatz ""Junior"" oder ""Senior"" enthält. Du bist dir unsicher, ob du ""jun"", ""jr"", ""jr."" oder ""sen"", ""sr"", ""sr."" verwenden sollst und ob diese Zusätze groß- oder kleingeschrieben werden. Du fragst den Chatbot, um die korrekten Ansetzungsregeln zu erfahren.";NDB
